INVOICE_NO,vcurr Net Revenue,INVOICE_DATE,$ Net Revenue,$ Gross Revenue,vcurr Gross Revenue,Sum of TONS_QTY
VKR-136830,21495,2024-05-24 00:00:00,23043,23042.749499999998,21495.102145522385,9.3058693114541
VKR-136831,285,2024-05-24 00:00:00,306,305.52,284.99999999999994,0.0196541573921
VKR-136832,1770,2024-05-24 00:00:00,1897,1897.0003000000002,1769.5898320895524,2.1841969470321
VKR-136833,515096,2024-05-27 00:00:00,552182,552182.4,515095.5223880597,273.17486631565123
VKR-136834,31227,2024-05-27 00:00:00,33475,33474.9669,31226.64822761194,9.9055683197548
VKR-136835,16314,2024-05-27 00:00:00,17488,17488.3688,16313.776865671642,8.0871255802722
VKR-136836,4358,2024-05-27 00:00:00,4672,4672.2039,4358.3991604477615,1.93411786568
VKR-136838,16017,2024-05-27 00:00:00,17170,17170.4169,16017.17994402985,7.7685268355079
VKR-136839,16350,2024-05-27 00:00:00,17528,17527.6147,16350.386847014923,7.7895190903915
VKR-136840,39229,2024-05-27 00:00:00,42054,42053.8149,39229.30494402985,21.1478642820522
VKR-136842,40100,2024-05-27 00:00:00,42988,42987.6607,40100.42975746268,20.7906738984483
VKR-136843,37872,2024-05-28 00:00:00,40599,40599.2586,37872.442723880595,16.5013774418647
VKR-136844,40036,2024-05-28 00:00:00,42919,42919.1198,40036.492350746266,22.4129742252955
VKR-136846,497,2024-05-28 00:00:00,532,532.4734,496.7102611940298,0.1361049265422
VKR-136847,9520,2024-05-28 00:00:00,10205,10204.9717,9519.563152985074,23.425156527103102
VKR-136850,15924,2024-05-28 00:00:00,17071,17070.7338,15924.191977611941,7.7155336389208
VKR-136851,2351,2024-05-28 00:00:00,2520,2520,2350.7462686567164,0.9599828918679999
VKR-136852,41245,2024-05-29 00:00:00,44215,44214.8566,41245.202052238805,22.7351971730961
VKR-136853,41245,2024-05-29 00:00:00,44215,44214.8566,41245.202052238805,22.624824541704
VKR-136854,41245,2024-05-29 00:00:00,44215,44214.8566,41245.202052238805,22.6326943693235
VKR-136855,41245,2024-05-29 00:00:00,44215,44214.8566,41245.202052238805,22.648184548759
VKR-136856,41245,2024-05-29 00:00:00,44215,44214.8566,41245.202052238805,22.6169274985423
VKR-136857,41245,2024-05-29 00:00:00,44215,44214.8566,41245.202052238805,22.558327900261997
VKR-136858,53711,2024-05-29 00:00:00,57579,57578.6499,53711.42714552238,22.5018783298155
VKR-136859,3970,2024-05-29 00:00:00,4256,4255.6499,3969.8226679104478,1.5262612143471
VKR-136860,15924,2024-05-29 00:00:00,17071,17070.7338,15924.191977611941,7.752528632618
VKR-136861,497,2024-05-29 00:00:00,532,532.4734,496.7102611940298,0.13710282975619997
VKR-136862,612,2024-05-29 00:00:00,656,655.5493,611.519869402985,0.057601695066299995
VKR-136863,222,2024-05-29 00:00:00,238,238.2221,222.22210820895523,0.00045359237000000004
VKR-136864,41245,2024-05-30 00:00:00,44215,44214.8566,41245.202052238805,22.5415585903431
VKR-136865,41245,2024-05-30 00:00:00,44215,44214.8566,41245.202052238805,22.6023218242283
VKR-136866,41245,2024-05-30 00:00:00,44215,44214.8566,41245.202052238805,22.6256909031307
VKR-136867,41245,2024-05-30 00:00:00,44215,44214.8566,41245.202052238805,22.621685682503603
VKR-136868,17745,2024-05-30 00:00:00,19023,19022.6363,17744.99654850746,8.4376209404949
VKR-136869,24239,2024-05-30 00:00:00,25984,25984.471,24239.245335820895,13.4299719628074
VKR-136870,12755,2024-05-30 00:00:00,13674,13673.7862,12755.397574626866,5.9442508981471
VKR-136871,41427,2024-05-30 00:00:00,44410,44409.6166,41426.881156716416,21.6065822458332
VKR-136872,41257,2024-05-30 00:00:00,44227,44227.2275,41256.74207089552,23.5908311402456
VKR-136873,28453,2024-05-30 00:00:00,30501,30501.2068,28452.618283582087,12.891140514637002
VKR-136874,2494,2024-05-31 00:00:00,2673,2673.203,2493.659514925373,3.0673911865828
VKR-136875,504,2024-05-31 00:00:00,540,540.2879,503.9999067164179,0.6505331052066
VKR-136876,1663,2024-05-31 00:00:00,1783,1782.6285,1662.8997201492537,2.2405331193861
VKR-136877,2201,2024-05-31 00:00:00,2359,2359.0428,2200.599626865672,1.4517949549641997
VKR-136878,4080,2024-05-31 00:00:00,4374,4373.7592,4079.9992537313433,3.4151150974248
VKR-136883,41779,2024-05-31 00:00:00,44787,44787.0106,41778.92779850746,20.8484933178522
VKR-136884,35267,2024-05-31 00:00:00,37807,37806.5652,35267.318283582084,15.675186155451899
VKR-136885,35267,2024-05-31 00:00:00,37807,37806.5652,35267.318283582084,15.675186155451899
VKR-136886,25544,2024-05-31 00:00:00,27383,27383.0047,25543.847667910446,12.2622664450979
VKR-136887,40635,2024-05-31 00:00:00,43561,43560.7116,40634.9921641791,14.789968893931
VKR-136888,45389,2024-05-31 00:00:00,48657,48657.493,45389.452425373136,21.1464944330948
VKR-136889,50498,2024-05-31 00:00:00,54134,54133.5925,50497.75419776119,25.995986538475805
VKR-136890,15312,2024-05-31 00:00:00,16414,16414.4866,15312.021082089552,7.2757032614266
VKR-136891,13690,2024-06-03 00:00:00,14854,14853.5413,13689.899815668205,5.6524957498393995
VKR-136892,3949,2024-06-03 00:00:00,4285,4284.8594,3949.1791705069127,1.4690360009479
VKR-136893,33987,2024-06-03 00:00:00,36876,36876.003000000004,33987.099539170515,19.404137277756
VKR-136895,49066,2024-06-04 00:00:00,53237,53237.083900000005,49066.43677419356,21.3337872585915
VKR-136896,8379,2024-06-04 00:00:00,9091,9091.2149,8378.999907834102,4.5142056973244
VKR-136897,49050,2024-06-04 00:00:00,53219,53219.249200000006,49049.99926267282,22.307854193548003
VKR-136898,10669,2024-06-04 00:00:00,11576,11576.4073,10669.499815668203,22.9901433005783
VKR-136899,1098,2024-06-04 00:00:00,1191,1191.33,1098,0.5970137414703001
VKR-136900,40005,2024-06-04 00:00:00,43405,43405.4243,40004.99935483871,22.484646355679196
VKR-136901,9603,2024-06-04 00:00:00,10419,10418.7666,9602.549861751153,20.500742191468
VKR-136902,10669,2024-06-04 00:00:00,11576,11576.4073,10669.499815668203,22.7660051668665
VKR-136903,5298,2024-06-05 00:00:00,5748,5748.0402,5297.732903225807,2.7285259347268997
VKR-136904,29446,2024-06-05 00:00:00,31949,31948.794199999997,29445.8932718894,15.1143373336417
VKR-136905,36181,2024-06-05 00:00:00,39256,39256.4386,36181.04940092166,14.962842017985398
VKR-136906,2650,2024-06-05 00:00:00,2875,2875.25,2650,0.00045359237000000004
VKR-136907,20647,2024-06-05 00:00:00,22402,22401.7202,20646.7467281106,11.047741122957
VKR-136908,10736,2024-06-06 00:00:00,11648,11648.4242,10735.874838709677,17.5391741048062
VKR-136909,10736,2024-06-06 00:00:00,11648,11648.4242,10735.874838709677,17.5611778706749
VKR-136910,10394,2024-06-05 00:00:00,11277,11277.2728,10393.799815668204,23.2135284709559
VKR-136913,42075,2024-06-07 00:00:00,45651,45651.3743,42074.999354838714,23.502929474863297
VKR-136914,51815,2024-06-07 00:00:00,56220,56219.7082,51815.399262672814,18.9504269737398
VKR-136915,9696,2024-06-07 00:00:00,10520,10520.2467,9696.0799078341,4.2007416181885
VKR-136916,506,2024-06-07 00:00:00,549,549.3626,506.3249769585254,0.2248366659616
VKR-136917,6331,2024-06-07 00:00:00,6870,6869.6774,6331.499907834102,2.9821702521071995
VKR-136918,25980,2024-06-07 00:00:00,28188,28188.1394,25979.851981566822,8.7967345557476
VKR-136919,1170,2024-06-07 00:00:00,1269,1268.916,1169.5078341013825,0.5471321885414
VKR-136920,31377,2024-06-07 00:00:00,34044,34044.0886,31377.0401843318,15.8083427315891
VKR-136921,355,2024-06-07 00:00:00,385,385.175,355,0.09999897389019999
VKR-136922,18826,2024-06-07 00:00:00,20426,20426.4532,18826.224147465437,9.4384044660444
VKR-136923,7167,2024-06-07 00:00:00,7776,7776.466100000001,7167.249861751153,11.7745956803398
