INVOICE_NO,vcurr Net Revenue,INVOICE_DATE,$ Net Revenue,$ Gross Revenue,vcurr Gross Revenue,Sum of TONS_QTY,$ Act Extended Cost,$ Std Extended Cost
VKR-134782,36193,7/18/2023 0:00,39596,49417.0622,45170.98921389396,20.32385024,41516.7677,38975.391
VKR-134783,42628,7/18/2023 0:00,46635,46634.5833,42627.58985374771,21.916227077213698,42294.4772,42581.9808
VKR-134784,42628,7/18/2023 0:00,46635,46634.5833,42627.58985374771,21.90922361,42252.1056,42581.9808
VKR-134785,42628,7/18/2023 0:00,46635,46634.5833,42627.58985374771,21.92322601,41900.7596,42581.9808
VKR-134786,46339,7/18/2023 0:00,50695,50695.0727,46339.18893967092,20.218979683071396,44134.7436,44589.6896
VKR-134787,350,7/18/2023 0:00,383,382.8999,349.99990859232173,0.018143695,12.7,12.7013
VKR-134788,52731,7/18/2023 0:00,57688,57687.7003,52730.987477148075,21.86670386,52769.4616,56258.993800000004
VKR-134789,47212,7/18/2023 0:00,51650,51650.1345,47212.188756855576,16.97074122,29717.0395,20201.1038
VKR-134790,4276,7/18/2023 0:00,4678,4678.2163,4276.248903107861,2.750003533,4736.68,4791.906
VKR-134791,41072,7/18/2023 0:00,44933,44932.8257,41072.05274223034,22.60587799,42332.2562,42839.2896
VKR-134792,9071,7/18/2023 0:00,9924,9924.0657,9071.358043875684,8.69756112,25001.3067,7252.0713000000005
VKR-134793,11849,7/18/2023 0:00,12963,12962.766,11848.963436928701,3.92600072,11164.1063,15822.9924
VKR-134794,52412,7/18/2023 0:00,57339,57338.7827,52412.049999999996,21.253859747073797,38434.1862,44971.605
VKR-134795,44229,7/18/2023 0:00,48386,48386.0169,44228.53464351005,22.62183083,40555.0924,42878.1813
VKR-134796,36193,7/19/2023 0:00,39596,49417.0622,45170.98921389396,20.304853790559804,41482.8677,38975.391
VKR-134797,36193,7/19/2023 0:00,39596,49417.0622,45170.98921389396,20.331856144345902,41531.1077,38975.391
VKR-134798,2064,7/19/2023 0:00,2258,2258.1249000000003,2064.0995429616087,0.96544868,2148.0837,2033.6147
