INVOICE_NO,vcurr Net Revenue,vcurr Gross Revenue,INVOICE_DATE,$ Net Revenue,$ Gross Revenue
VKR-136376,12158,12157.894736842105,3/7/2024 0:00,13167,13167
VKR-136377,1,0.7234533702677747,3/7/2024 0:00,1,0.7835
VKR-136378,12158,12157.894736842105,3/7/2024 0:00,13167,13167
VKR-136379,12158,12157.894736842105,3/7/2024 0:00,13167,13167
VKR-136380,12158,12157.894736842105,3/7/2024 0:00,13167,13167
VKR-136381,12158,12157.894736842105,3/7/2024 0:00,13167,13167
VKR-136382,12158,12157.894736842105,3/7/2024 0:00,13167,13167
VKR-136383,3874,3873.7441366574335,3/1/2024 0:00,4195,4195.2649
VKR-136384,0,0.1430286241920591,3/1/2024 0:00,0,0.1549
VKR-136385,19,19.000000000000004,3/6/2024 0:00,21,20.577
VKR-136386,49226,49226.10184672207,3/7/2024 0:00,53312,53311.8683
VKR-136387,19121,19120.50073868883,3/7/2024 0:00,20708,20707.5023
VKR-136388,12158,12157.894736842105,3/7/2024 0:00,13167,13167
VKR-136389,12158,12157.894736842105,3/7/2024 0:00,13167,13167
VKR-136390,27878,27877.50101569714,3/11/2024 0:00,30191,30191.3336
VKR-136391,17270,17269.87562,3/11/2024 0:00,18703,18703.2753
VKR-136392,9899,9899.304986149584,3/11/2024 0:00,10721,10720.9473
VKR-136393,18121,18120.77940904894,3/8/2024 0:00,19625,19624.8041
VKR-136394,3955,3955.0501385041553,3/11/2024 0:00,4283,4283.3193
VKR-136395,0,0,3/11/2024 0:00,0,0
VKR-136396,50969,50968.52096029548,3/7/2024 0:00,55199,55198.9082
VKR-136397,25484,25484.26048014774,3/8/2024 0:00,27599,27599.4541
VKR-136398,54236,54235.73379501385,3/7/2024 0:00,58737,58737.2997
VKR-136399,6730,6730.458541089566,3/7/2024 0:00,7289,7289.0866
VKR-136400,27878,27877.50101569714,3/12/2024 0:00,30191,30191.3336
VKR-136401,218,218,3/12/2024 0:00,236,236.094
VKR-136402,2727,2727.0000923361035,3/11/2024 0:00,2953,2953.3411
VKR-136403,39900,39900.00147737766,3/12/2024 0:00,43212,43211.7016
VKR-136404,12177,17066.700646352725,3/12/2024 0:00,13188,18483.2368
VKR-136405,12177,17066.700646352725,3/12/2024 0:00,13188,18483.2368
VKR-136406,8181,8181.000277008311,3/12/2024 0:00,8860,8860.0233
VKR-136407,1950,1950.0000923361035,3/12/2024 0:00,2112,2111.8501
VKR-136408,16385,16384.500646352724,3/12/2024 0:00,17744,17744.4142
VKR-136410,7503,7503.000277008311,3/12/2024 0:00,8126,8125.7493
VKR-136411,1495,1495.4500461680518,3/13/2024 0:00,1620,1619.5724
VKR-136412,18866,24777.37590027701,3/13/2024 0:00,20432,26833.8981
VKR-136413,39900,39900.00147737766,3/13/2024 0:00,43212,43211.7016
VKR-136414,39900,39900.00147737766,3/13/2024 0:00,43212,43211.7016
VKR-136415,16385,16384.500646352724,3/13/2024 0:00,17744,17744.4142
VKR-136416,42821,42820.908771929826,3/14/2024 0:00,46375,46375.0442
VKR-136417,5,5,3/11/2024 0:00,5,5.415
VKR-136418,2930,2929.5000923361035,3/14/2024 0:00,3173,3172.6486
VKR-136419,12780,12780.200554016621,3/11/2024 0:00,13841,13840.9572
VKR-136420,330,330,3/14/2024 0:00,357,357.39
VKR-136421,35,35,3/14/2024 0:00,38,37.905
VKR-136422,9840,9840.000277,3/14/2024 0:00,10657,10656.720299999999
VKR-136423,7136,7135.592890120037,3/14/2024 0:00,7728,7727.8471
VKR-136424,36115,36114.75134,3/15/2024 0:00,39112,39112.2757
VKR-136425,31350,31350.001200369345,3/18/2024 0:00,33952,33952.0513
VKR-136426,8550,8550.000277,3/18/2024 0:00,9260,9259.6503
VKR-136427,8444,8444.461772853187,3/18/2024 0:00,9145,9145.3521
VKR-136428,39900,39900.00147737766,3/18/2024 0:00,43212,43211.7016
VKR-136429,18632,18632.000646352724,3/18/2024 0:00,20178,20178.4567
VKR-136430,10710,10710.000369344414,3/18/2024 0:00,11599,11598.9304
VKR-136431,8389,8389.283748845799,3/19/2024 0:00,9086,9085.5943
VKR-136432,1,0.7292705447830101,3/19/2024 0:00,1,0.7898
VKR-136433,20644,20643.525761772857,3/19/2024 0:00,22357,22356.938400000003
VKR-136434,675,675,3/19/2024 0:00,731,731.025
VKR-136435,3132,3132.400092336103,3/19/2024 0:00,3392,3392.3893
VKR-136436,1126,1125.5,3/19/2024 0:00,1219,1218.9165
VKR-136437,35784,35784.00129270545,3/18/2024 0:00,38754,38754.0734
VKR-136438,322,322.05383194829176,3/19/2024 0:00,349,348.7843
VKR-136439,49863,49863.38614958449,3/20/2024 0:00,54002,54002.0472
VKR-136440,2025,2025.0000923361035,3/15/2024 0:00,2193,2193.0751
VKR-136441,2310,2310.0000923361035,3/15/2024 0:00,2502,2501.7301
VKR-136442,2145,2145.0000923361035,3/15/2024 0:00,2323,2323.0351
VKR-136443,2184,2184.0000923361035,3/19/2024 0:00,2365,2365.2721
VKR-136444,14535,14535.00055401662,3/19/2024 0:00,15741,15741.4056
VKR-136445,12854,12854.148938134811,3/19/2024 0:00,13921,13921.0433
VKR-136446,8834,8833.800369344415,3/19/2024 0:00,9567,9567.0058
VKR-136447,17078,17078.188457987075,3/20/2024 0:00,18496,18495.6781
VKR-136448,4035,4035.1501385041556,3/20/2024 0:00,4370,4370.0676
